,Ls,TOA,Eff,Direct,Diffuse
0,0.0,520.1427302322344,468.093566870598,288.08548617939823,209.31172173395322
1,5.0,512.6837883680518,465.1337779084017,295.5496618469365,197.19083262961072
2,10.0,504.8813762139523,461.56218253431246,302.7167280414793,184.70401685213153
3,15.0,496.8380183385203,457.5016816543375,309.6631584479119,171.9052595423554
4,20.0,488.66480628317186,453.00499959993914,316.1799422183331,159.09890393210003
5,25.0,480.4791361420952,448.30547389904956,322.673579575018,146.0835980511995
6,30.0,472.4026370365996,440.72309829070787,287.18087169951104,178.53747278046143
7,35.0,464.5592876042119,432.01320755832205,271.25589995699994,186.92710186200247
8,40.0,457.0736893555878,423.59897486115636,257.00070478722193,193.71891869062142
9,45.0,450.0694421545907,415.6278123284132,244.3439445595312,199.16728810335118
10,50.0,443.6675504586604,409.8207309217071,237.57437764208387,200.28645730188745
11,55.0,437.9847820042019,404.75362985002613,232.09791132673465,200.76246339917614
12,60.0,433.1319060134073,400.5657639860916,227.95954500021975,200.70490579752544
13,65.0,429.21175767715806,395.9167436054711,221.30753376719554,203.03396492822736
14,70.0,426.3171098155258,392.3869823261149,216.1795621478098,204.89234904454082
15,75.0,424.5283785747218,390.0795540872107,212.58195769947918,206.39255393922264
16,80.0,423.9112416226724,389.07977111069107,210.52757929183937,207.6188276963392
17,85.0,424.5142952163896,389.4523631148346,210.03471136101825,208.625176457926
18,90.0,426.36690996176105,391.2389190434565,211.12611210446826,209.43349644068402
19,95.0,429.47745486476356,394.12811388591797,213.0095581374826,210.60297180050628
20,100.0,433.83204107151425,398.43179143982036,216.50650181898396,211.54103444283305
21,105.0,439.39389328940155,404.1109353854097,221.6335101461862,212.1830526037482
22,110.0,446.1033979156153,411.5262728020852,229.51547786205143,211.6404592325974
23,115.0,453.8788160045874,420.1642341428093,239.14100174351515,210.49213069685365
24,120.0,462.6175995726229,429.905280314514,250.55344645141562,208.54864402685863
25,125.0,472.1982200534785,440.5432833977243,263.6211178485928,205.72344831294356
26,130.0,482.4824101275711,451.97542271408383,278.5572879147286,201.6489939527387
27,135.0,493.31773076278347,464.0197098673227,295.4180461923161,196.04844613372865
28,140.0,504.54039657063004,469.2969586748849,291.6819016206003,206.5291361096332
29,145.0,515.9783161747196,474.68844451024336,289.0777397639297,215.82640086780657
30,150.0,527.4543234065801,483.05616092423395,321.2818596164278,188.10965268349548
31,155.0,538.7895856424411,492.1668815009733,323.0771416723636,196.61597654489503
32,160.0,549.8071760478022,500.8227248641802,324.43261120749366,205.10478332172852
33,165.0,560.3357875894279,508.83658050519756,325.2211690986973,213.5062923331398
34,170.0,570.2135503712702,515.7941804672804,324.60268579307774,222.315691481631
35,175.0,579.2918926486545,521.7673964999699,323.2162372931823,230.8734409381251
36,180.0,587.4393622821624,526.6071179386377,320.9907331362569,239.088819537652
37,185.0,594.545301645343,531.825896495505,321.2568283131816,244.8477537003762
38,190.0,600.5232469733837,535.7929596514409,320.5875189545283,250.23888453129365
39,195.0,605.3139043902589,538.4576256897019,318.9713893277327,255.2165539092665
40,200.0,608.8875407497586,537.9433567359692,311.32565262415545,263.508958269551
41,205.0,611.2456193409115,536.0922937443449,302.917138446156,271.1339015095221
42,210.0,612.4215100275884,533.9244058305019,301.5511312756457,270.2014820405305
43,215.0,612.4801125358636,519.6666086900652,267.4047877563758,293.32769876010406
44,220.0,611.5162529809041,504.36778834578274,236.2263398541075,311.7923819670643
45,225.0,609.6517505297464,488.3315313022627,207.93951323220676,326.03723031401853
46,230.0,607.0311067817947,476.0206967484187,189.52522522748032,333.1342692103934
47,235.0,603.8158479274856,463.43643081598725,172.37349793614916,338.4452707905094
48,240.0,600.177649971719,450.83358092764865,156.55024372981396,342.1899269742264
49,245.0,596.2904973139082,454.01606175082753,165.28274877640018,335.73641043538066
50,250.0,592.3222557586707,457.42580312847116,174.9331363267396,328.47984511829253
51,255.0,588.4261661702072,461.22218681343975,185.67329330372726,320.4056901275727
52,260.0,584.732861203718,461.35902033152615,189.87091966689195,315.6838379821328
53,265.0,581.3435483314153,462.0823279159819,194.69032987258294,310.92092795744065
54,270.0,578.3249648046465,463.53929871876494,200.1897729529238,306.22037879748973
55,275.0,575.7065834653637,466.794285762439,210.3302035357315,298.21404910082265
56,280.0,573.48034078497,469.637666553488,215.35857943609477,295.6733571132479
57,285.0,571.6028993764886,474.20085915492405,227.29594642942965,287.098735727319
58,290.0,570.0001908923143,481.88563963749135,246.35191112986803,273.8764284972364
59,295.0,568.573759415098,489.91170678618306,267.1689555007272,259.00319916913475
60,300.0,567.2082777078705,498.07153266189056,289.7183684886539,242.27112113167055
61,305.0,565.7795566473959,494.6868880909595,281.48792273609854,247.90577366844298
62,310.0,564.1624072263277,492.2711398197049,281.13901919555684,245.50246584203268
63,315.0,562.2378227702716,488.7168588916704,273.30911511335034,250.47412067246523
64,320.0,559.8990962682445,478.4274410690223,249.5317506125789,266.1577796005156
65,325.0,557.0566444662446,467.95965802408705,228.03935785497964,278.9770932198923
66,330.0,553.6414539573451,457.2035926874887,208.4913193977128,289.20031777880916
67,335.0,549.6071813983768,458.450435005153,211.77625568402834,286.8304410710752
68,340.0,544.9310250939654,459.74966267792325,220.14548922036226,278.60950402041976
69,345.0,539.6135394957599,460.180432731867,228.21071560670032,269.7322292153101
70,350.0,533.6775920825099,463.55880575326586,245.22106805128064,253.88109035114562
71,355.0,527.1666692947383,465.970943338623,262.792112800648,236.2544541139244
